monolith_path,resolution_type,target_service,kong_route_name,kong_match_path,upstream_path,effort,notes
/api/v1/admin/requests,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/settings,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/users,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/caregiver/tasks,KONG_ALIAS,caregiver-service,caregiver-legacy-alias,/api/v1/caregiver,/api/v1/caregivers,LOW,Singular to plural path mapping
/api/v1/internal/caregivers,KONG_ROUTE,various,internal-*,/api/v1/internal,/api/v1/internal,MEDIUM,Internal service-to-service APIs
/api/v1/patient/visits,KONG_ALIAS,patient-service,patient-legacy-alias,/api/v1/patient,/api/v1/patients,LOW,Singular to plural path mapping
/api/v1/admin,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/activities,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/activity-log,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/agencies,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/ai-matching/batch,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/ai-matching/override,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/ai-matching/quality,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/approval,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/audit,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/auth,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/care-plans,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/caregivers/approval,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/caregivers/monitoring,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/caregivers/verification,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/compliance,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/dashboard,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
/api/v1/admin/documents,KONG_ALIAS + CONTROLLER_EXPANSION,admin-service,admin-api-v1,/api/v1/admin,/admin,MEDIUM,Requires admin-service controller expansion
